ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,pos_h
1,a2-bo5,,a2無,;不然;還是沒有;,,
2,a2-i5,,a2蛦,;蟬;,,Na
3,a2-phau3,,阿炮,;凱子;,,
4,a3-leng5,,啞鈴,;小鎮;,,Nc
5,a7-ho2,,a7好,;怎好;,,
6,a7-khu2-lih,,a7-khu2-lih,;壓克力;,,Na
7,a7-sai2,,a7使,;何必;何須;怎麼需要;,,Db
8,a7-soah-si7,,a7-soah是,;哪裡是;,,
9,a7-soah-u7,,a7-soah有,;哪有;,,
10,a7-tioh8,,a7著,;何必;,,Db
11,a7-u7,,a7有,;哪有;,,
12,a-bo2,a-bu2,阿母,;母親;媽媽;,mother,Na
13,a-bu-kha-lo,,a-bu-kha-lo,;酪梨;,,
14,a-cha,am-cham,腌臢,;骯髒;,dirty,VH
15,a-chek,,阿叔,;叔父;叔叔;,uncle,Na
16,a-chim2,,阿嬸,;叔母;嬸嬸;,aunt,Na
17,a-chiu,a3-chiu,亞洲,;亞洲;,Asia,Nc
18,a-chou2,,阿祖,;曾祖父母;,grandfather,
19,a-geh,,阿給,;油豆腐;,,
20,ah,,ah,;了;啊;,,I;Di;Ta;Tc;VJ
21,ah,,押,;押;強制;,,VF;VC
22,ah,,鴨,;鴨;鴨子;,duck,Na
23,ah,,壓,;壓;,,VC
24,ah boe2-au7,ah be2-au7,押尾後,;壓隊;殿後;,,VA;VH
25,ah8,,ah8,;怎麼;哪裡;,,Nc;Dj;VH
26,ah8,ap8,盒,;盒;,box,Nf
27,ah8-a2,,匣仔,;匣子;,,Na
28,ah8-a2,ap8-a2,盒仔,;盒子;,,Na;Nf
29,ah8-chhioh,,壓尺,;界尺;,,Na
30,ah8-chng,,盒裝,;盒裝;,,A
31,ah8-ek,,壓抑,;壓抑;,,VC
32,ah8-ke7,,壓低,;壓低;,,VR
33,ah8-keng2,,壓境,;壓境;,,VA
34,ah8-pan2,,壓板,;界尺;壓;,,Na;VC
35,ah8-u7-che,,ah8有che,;怎麼這樣;,,
36,ah8-u7-chit8-e5,,ah8有一個,;怎麼這樣;,,
37,ah-a2-kiaN2,,鴨仔囝,;小鴨;鴨黃;,,
38,ah-a2-tan,,鴨仔tan,;小鴨;,,
39,ah-au7,,押後,;殿後;,,VH
40,ah-bah,,鴨肉,;鴨肉;,,
41,ah-bi5,,鴨咪,;鴨子;,,Na
42,ah-bi5-a2,,鴨咪仔,;小鴨子;,,
43,ah-bi7,,鴨味,;蹩腳;,,VH
44,ah-bi7,,壓味,;壓味;,,
45,ah-bo2,ah-bu2,鴨母,;母鴨;,,Na
46,ah-bo2-chhau2,ah-bu2-chhau2,鴨母草,;水丁黃;,,
47,ah-bo2-chhiu7,ah-bu2-chhiu7,鴨母樹,;江某;鵝掌樹;,,
48,ah-bo2-chu,ah-bu2-chu,鴨母珠,;薏苡;,,
49,ah-bo2-hiaN7,ek-bu2-hiaN7,益母艾,;益母草;,,
50,ah-bo2-it,ah-bu2-it,鴨母乙,;乙;,,Ne
51,ah-bo2-leh8,ah-bu2-leh8,鴨母笠,;斗笠;,,Na
52,ah-bo2-phaN3,ah-bu2-phaN3,鴨母冇,;江某;,,
53,ah-bo2-te5,ah-bu2-toe5,鴨母蹄,;平足;扁平足;,,
54,ah-boe2,ah-be2,押尾,;押後;殿後;斷後;,,VB;VH
55,ah-boe7-si7,ah-be7-si7,ah未是,;且慢;,,VH
56,ah-chai3,,押載,;押運;,,VC
57,ah-chhioh,,鴨尺,;鴨的胰腺;,,
58,ah-chhui3-hong5,,鴨嘴hong5,;鴨舌hong5;,,
59,ah-chhut,,押出,;押出;,,VR
60,ah-chih8-chhau2,,鴨舌草,;斛菜;,,
61,ah-chih8-hong5,,鴨舌hong5,;水丁黃;鴨舌hong5;,,
62,ah-chiuN2,ah-chiong2,鴨掌,;鴨掌;,,Na
63,ah-heng5,,鴨雄,;雄鴨;,,
64,ah-heng5-a2,,鴨雄仔,;鴨黃;,,
65,ah-hoe7,,押匯,;押匯;,,VA;Na;re
66,ah-hou2,,壓虎,;花梨隼;,,
67,a-hiaN,,阿兄,;哥哥;喪葬工;,,Na
68,ah-kai2,,押解,;押解;,,VC
69,ah-kak,,鴨角,;公鴨;雄番鴨;,,
70,ah-kang,,鴨公,;公鴨;雄番鴨;雄鴨;,,
71,ah-kang-khiu5,,鴨公khiu5,;彈簧;,,Na
72,ah-ke7,,抑低,;抑低;,,VC
73,ah-kha-bok8,,鴨腳木,;鵝掌樹;,,
74,ah-kha-chhiu7,,鴨腳樹,;鵝掌樹;,,
75,ah-kha-chiuN2,,鴨腳掌,;鴨蹼;,,
76,ah-kha-hiaN7,,鴨腳艾,;角菜;,,
77,ah-kha-hiuN,,鴨腳香,;鵝掌金星蕨;,,
78,ah-kha-pe5,,鴨腳扒,;鴨跖草;鴨蹼;,,
79,ah-kha-phoe5,ah-kha-phe5,鴨腳皮,;鴨腳木;,,
80,ah-kha-sek,,鴨腳稷,;穇子;,,
81,ah-kha-soe2,ah-kha-se2,鴨腳黍,;穇子;,,
82,ah-kha-te5,ah-kha-toe5,鴨腳蹄,;扁平足;,,
83,ah-khut,,抑屈,;抑制;,,VC
84,ah-kim,,押金,;押金;,,Na
85,ah-kui,,鴨kui,;鴨的素囊;,,
86,ah-lai7,,押利,;抵押;,,VC
87,ah-lang2-hi3,,壓籠戲,;壓軸戲;,,Na
88,ah-lek8,,鴨綠,;深綠;,,
89,ah-loh8-seng3,,壓落性,;馴服;,,VC
90,ah-loh8-te2,ah-loh8-toe2,壓落底,;馴服;,,VC
91,ah-lut-a2,,鴨lut仔,;亞成鴨;,,
92,ah-nng7,,鴨卵,;鴨蛋;,,Na
93,ah-nng7-bin7,,鴨卵面,;瓜子臉;,,Na
94,ah-nng7-chheN,ah-nng7-chhiN,鴨卵青,;淡青;蛋青;淡青色;淺藍色;,,Na;A
95,ah-nng7-chheng,,鴨卵青,;鴨蛋青;,,
96,ah-nng7-heng5,,鴨卵形,;橢圓形;鴨蛋圓;,,Na
97,ah-pa,,鴨巴,;板鴨;鴨賞;,,Na
98,ah-pa3,,壓霸,;專橫;惡霸;跋扈;霸道;蠻橫;,,Na;VH
99,ah-phio3,,押票,;押票;,,Na
100,ah-pio-kim,,押標金,;押標金;,,
101,ah-png2,,押榜,;屈居末座;敬陪末座;殿後;,,VH
102,ah-sang3,,押送,;押送;,,VC
103,ah-si7,,ah是,;抑或;抑是;或者;或則;,,V_;Ca
104,ah-siau3,,押數,;押帳;,,
105,ah-siuN2,,鴨賞,;板鴨;鴨賞;,,Na
106,ah-soah,,押煞,;停止;,,VF
107,ah-te5-chhau2,ah-toe5-chhau2,鴨蹄草,;鴨跖草;,,
108,ah-te5-se2,ah-toe5-soe2,鴨蹄黍,;穇子;,,
109,ah-thou5-chu,,鴨土珠,;小還魂;,,
110,ah-thun5-a2,,鴨豚仔,;亞成鴨;,,
111,ah-un7,,押韻,;押韻;,,VH
112,ai,,哀,;呼號;哀叫;訴苦;,,VA;VB
113,ai2-a2,,噯仔,;嗩吶;,,Na
114,ai3,,愛,;易於;要;得;喜歡;愛;愛惜;需;,,Db;VK;VC;VE;VJ
115,ai3 chheng-khi3,,愛清氣,;愛好整潔;,,
116,ai3 pho3-tau7,,愛pho3-tau7,;愛現;,,
117,ai3-beh,ai3-boeh,愛欲,;要;想;想要;,,Db;VF;VC;VE;VJ
118,ai3-bin7-chu2,,愛面子,;愛面子;,,
119,ai3-bou7,,愛慕,;愛慕;,,VJ
120,ai3-cheN3,ai3-chiN3,愛諍,;好辯;,,VH
121,ai3-cheng5,,愛情,;愛情;,,Na
122,ai3-chhap-su7,,愛插事,;多管閒事;好事;,,VH
123,ai3-chhe,,愛妻,;愛妻;,,Na
124,ai3-chhio3,,愛笑,;好笑;非笑;,,VH
125,ai3-chu2,,愛子,;愛子;,,Na
126,ai3-eng7,ai3-iong7,愛用,;愛用;,,
127,ai3-gak8,,愛樂,;愛樂;,,VH
128,ai3-giok8-a2,,愛玉仔,;愛玉子;,,
129,ai3-giok8-chi2,,愛玉子,;愛玉子;,,
130,ai3-hau2,,愛哮,;愛哭;,,
131,ai3-hin7,ai3-hun7,愛恨,;愛恨;,,Na
132,Ai3-ho5,,愛河,;愛河;,,Nc
133,ai3-hong5,,愛紅,;愛出風頭;愛現;,,
134,ai3-hong-sin5,,愛風神,;好大喜功;,,VH
135,ai3-hou7,,愛護,;愛護;,,VC
136,ai3-iong7,,愛用,;愛用;,,
137,ai3-jin5,,愛人,;情人;情侶;甜心;愛人;戀人;,,Nh;Na
138,ai3-jin5-a2,,愛人仔,;情人;情侶;,,Na
139,ai3-khau3,,愛哭,;好哭;愛哭;,,
140,ai3-khau3-bin7,,愛哭面,;哭喪著臉;愛哭鬼;,,VH
141,ai3-khau3-sin5,,愛哭神,;愛哭鬼;,,
142,ai3-khian2,,愛犬,;愛犬;,,Na
143,ai3-khun3,,愛睏,;睏倦;想睡覺;,,
144,ai3-khun3-bak8,,愛睏目,;睡眼惺忪;瞌睡眼;,,
145,ai3-khun3-chhiu7,,愛睏樹,;合歡樹;,,
146,ai3-khun3-ioh8,,愛睏藥,;安眠藥;,,Na
147,ai3-khun3-kui2,,愛睏鬼,;瞌睡蟲;,,
148,ai3-khun3-sin5,,愛睏神,;睡眼惺忪;睡魔;,,
149,ai3-kiau,,愛嬌,;嫵媚;嬌媚;,,VH
150,ai3-kok,,愛國,;愛國;,,VH
151,ai3-kok-sim,,愛國心,;愛國心;,,Na
152,ai3-kong2-oe7,,愛講話,;愛說話;,,
153,ai3-kou3,,愛顧,;眷顧;,,VJ
154,ai3-li2,ai3-lu2,愛女,;愛女;,,Na
155,ai3-mai7,,曖昧,;曖昧;曖眛;,,VH
156,ai3-put-sek-chhiu2,,愛不釋手,;愛不釋手;,,VH
157,ai3-sim,,愛心,;愛心;,,Na
158,Ai3-sin5,,愛神,;愛神;,,Nb
159,ai3-sioh,,愛惜,;愛惜;,,VJ
160,ai3-sng2,,愛耍,;貪玩;愛玩;,,VH
161,ai3-su7,,愛事,;好事;,,
162,ai3-sui2,,愛sui2,;愛美;,,VH
163,ai3-tai3,,愛戴,;愛戴;,,VJ
164,Ai3-tek-hoa5,,愛德華,;愛德華;,,Nb
165,ai3-the2-bian7,ai3-the2-bin7,愛體面,;愛面子;,,
166,ai3-thit,,愛thit,;愛玩;,,VH
167,ai3-tian2,,愛展,;愛現;,,
168,ai3-tioh8,,愛著,;愛上;,,VR
169,a-i5,,阿姨,;阿姨;姨母;姨媽;,,Na
170,ai-ai-chhan,,哀哀呻,;哀鳴;,,VA
171,ai-ai-hau2,,哀哀hau2,;哀號;,,VA
172,ai-ai-kio3,,哀哀叫,;哀哀叫;,,
173,ai-ai-thiu,,哀哀抽,;哀鳴;,,VA
174,a-ian5,,亞鉛,;亞鉛;鋅;洋鐵;鍍鋅鐵;,,Na
175,a-ian5-pan2,,亞鉛板,;白鐵;洋鐵;鐵皮;,,Na
176,a-ian5-phiaN2,,亞鉛鉼,;鋅板;鐵皮;,,Na
177,a-ian5-si,,阿鉛絲,;鉛絲;,,Na
178,a-ian5-soaN3,,亞鉛線,;鐵線;,,Na
179,a-ian5-thang2,,亞鉛桶,;鍍鋅桶;,,
180,a-ian5-thih,,亞鉛鐵,;洋鐵;鍍鋅鐵;,,Na
181,ai-chhan,,唉呻,;呻吟;,,VA
182,ai-eng5,,哀榮,;哀榮;,,Na
183,ai-go7,,挨餓,;挨餓;,,VA
184,ai-iah,,唉呀,;唉呀;喔唷;,,I
185,ai-ioh,,噯喲,;噯喲;,,
186,Ai-kip8,,埃及,;埃及;,,Nc
187,ai-kiu5,,哀求,;哀求;,,VF
188,aiN7,,aiN7,;背;背負;,,Na;VC;VH
189,aiN7-kin,aiN7-kun,aiN7巾,;背巾;,,
190,ai-oan3,,哀怨,;哀怨;埋怨;,,VE;VH
191,ai-siong,,哀傷,;哀傷;,,VH
192,ai-su5,,哀詞,;追悼文;祭文;,,Na
193,ai-thiaN3,,哀痛,;哀痛;,,VH
194,ai-tiN,,ai甜,;死甜;,,
195,ai-to7,,哀悼,;哀悼;,,VJ
196,ai-tong7,,哀慟,;哀慟;,,VH
197,a-jiat8-tai3,,亞熱帶,;亞熱帶;,,Nc
198,ak,,沃,;沃;淋;澆;澆灌;,,VC;Nb;b
199,ak8-a2,,ak8仔,;桄子;線軸;,,Na
200,a-kah,,阿及,;估計;,,VE
201,a-kau2,,阿狗,;阿狗;,,Na
202,a-kau2-khi3,a-kau2-khui3,阿狗氣,;嬌憨;撒嬌;,,VA;VH
203,ak-au5,,沃喉,;潤喉;,,VA
204,ak-chak,,偓促,;局促;局促不安;狹窄;惱人;焦躁;煩悶;煩燥;鬱悶;,,VH
205,ak-chak8,,齷齪,;煩躁;逼仄;,,VH
206,ak-chak-hoe2,ak-chak-he2,偓促火,;無名火;無明火;,,Na
207,ak-chak-joah8,,偓促熱,;悶熱;溽暑;燠熱;,,Na;VH
208,ak-chhan5,,沃田,;灌溉;,,VC
209,ak-chhiu2,,握手,;握手;,,VA
210,ak-chui2,,沃水,;澆水;,,
211,a-kheng7,,椏虹,;烏臼;,,
212,ak-hou7,,沃雨,;淋雨;,,VA
213,a-kim7,,阿妗,;妗子;舅母;舅媽;,,Na
214,a-kiong7-a2,,阿共仔,;中共;,,Na
215,ak-iu2,,握有,;握有;,,VJ
216,a-ko,,阿哥,;哥哥;,,Na
217,a-kong,,阿公,;阿公;祖父;爺爺;,,Na
218,a-ko-sia3,,阿哥舍,;公子哥兒;,,Na
219,a-kou,,阿姑,;姑母;姑姑;姑娘;姑媽;,,Na
220,ak-pui5,,沃肥,;施肥;,,VB
221,ak-tam5,,沃tam5,;淋濕;澆濕;,,VB
222,a-ku7,,阿舅,;娘舅;舅父;舅舅;,,Na
223,a-kun,,亞軍,;亞軍;,,Na
224,a-le2,a3-leng5,啞鈴,;啞鈴;,,Na
225,a-li2-put-tat8,,阿里不達,;黏涎;,,Na
226,A-li2-san,,阿里山,;阿里山;,,Nc
227,a-li2-sim,,阿里參,;肉桂;,,Na
228,am,,庵,;庵;,,b
229,am,,掩,;掩;遮住;,,VR
230,am,,醃,;醃;,,VC
231,am,,闇,;笨;闇;,,b;VH
232,am2,,am2,;米湯;稀飯;,,Na
233,a-m2,,阿姆,;大娘;大媽;大嬸兒;老太太;伯母;,,Na
234,am2-am2,,am2-am2,;稀溜溜;,,
235,am2-chiuN,,am2漿,;米湯;,,Na
236,am2-li7,am2-lu7,am2濾,;濾器;,,Na
237,am2-moai5,am2-be5,am2糜,;稀飯;米湯;,,Na
238,am2-moai5-a2,am2-be5-a2,am2糜仔,;米湯;,,Na
239,am2-moai5-hoe,am2-be5-hoe,am2糜花,;米湯;,,Na
240,am2-pheh8,,am2-pheh8,;米湯泡;,,
241,am2-phiN7-ko,,am2鼻哥,;扁平鼻;塌鼻子;,,
242,am2-te3,,am2滯,;濾器;,,Na
243,am2-thng,,am2湯,;米湯;,,Na
244,am2-thng-sai2,,am2湯屎,;溏便;,,
245,am2-thong-thong,,am2-thong-thong,;稀溜溜;,,
246,am3,,暗,;晚上;晚餐;暗;暗中吞沒;,,Na;Nd;VH
247,am3 hoaN-hi2,,暗歡喜,;暗自歡喜;暗喜;竊喜;,,VH
248,am3-an,,暗安,;晚安;,,VH
249,am3-bat8,,暗密,;暗中;,,Dh
250,am3-bin5-bong,,暗眠摸,;烏七摸黑;黑洞洞;黑漆漆;漆黑的;,,VH
251,am3-bok8-bok8,,暗漠漠,;悄悄的;莫測高深;黑漆漆;漆黑一團;,,VH
252,am3-bong-bong,,暗摸摸,;黑漆漆;漆黑的;,,VH
253,am3-bong-sa,,暗摸捎,;抓瞎;摸索;瞎抓;,,VC;VE
254,am3-bou5,,暗謀,;陰謀;暗謀;,,Na
255,am3-cha,am3-chha5,暗查,;偵探;暗探;,,Na;VC;VE
256,am3-chau3,,暗奏,;打小報告;密告;,,VA;VC
257,am3-chhang3,,暗藏,;暗藏;,,
258,am3-chheng3,,暗銃,;黑槍;,,
259,am3-chhia,,暗車,;夜車;晚年;,,Na
260,am3-chhio3,,暗笑,;竊笑;,,VC
261,am3-chhiuN,,暗鯧,;銀鯧;,,
262,am3-chhng3,,暗串,;黑鮪魚;鮪魚;,,Na
263,am3-chhu3,,暗處,;暗處;,,Nc
264,am3-chiN3,,暗箭,;黑槍;暗箭;,,
265,am3-chiN7,,暗靜,;私下;悄悄;悄悄地;偷偷;暗中;暗地裡;,,Dh
266,am3-chiN7-a2,,暗靜仔,;悶頭兒;,,
267,am3-chiuh-chiuh,,暗chiuh-chiuh,;烏七摸黑;黑漆漆;,,VH
268,am3-choa7,,暗逝,;暗痕;,,
269,am3-chu7,,暗自,;暗自;,,Dh
270,am3-heng7,,暗行,;卑鄙行徑;陰謀;暗計;,,Na;VE
271,am3-hiong,,暗香,;夜來香;,,Na
272,am3-ho7,,暗號,;暗記;暗記兒;暗號;,,Na
273,am3-hoe2,am3-he2,暗火,;文火;,,Na
274,am3-hok8,,暗伏,;打埋伏;埋伏;潛伏;,,VA
275,am3-hong2,,暗訪,;暗訪;,,VC
276,am3-hou7,,暗雨,;夜雨;,,
277,am3-hun5,,暗痕,;暗花兒;暗痕;,,
278,am3-hun5,,暗雲,;黑雲;,,Na
279,am3-hun7,,暗分,;無記名股;暗股;,,
280,am3-iaN2,,暗影,;昏暗;晦暗;陰暗;陰影;薄暮;,,Na;VH
281,am3-iu2,,暗酉,;深夜;,,Nd
282,am3-kang3,,暗槓,;中飽;暗槓;,,VJ
283,am3-kau,,暗溝,;地溝;陰溝;暗渠;暗溝;,,Nc
284,am3-ke3,,暗計,;暗計;,,Na;VE
285,am3-keng,,暗間,;暗房;暗室;,,Nc
286,am3-keng-a2,,暗間仔,;妓院;,,Nc
287,am3-kham3,,暗kham3,;掩飾;掩藏;矇混;中飽;暗槓;,,VA;VC;VJ
288,am3-khang,,暗空,;暗事;,,Na
289,am3-khang-a2,,暗空仔,;私娼;私窩子;,,Na
290,am3-khng3,,暗khng3,;暗藏;暗放;,,
291,am3-khun3,,暗睏,;晚睡;,,VH
292,am3-ki3,,暗記,;暗記;暗號;,,Na
293,am3-ki3-ho7,,暗記號,;暗號;,,Na
294,am3-koa3-chiau2,,暗掛鳥,;夜鷺;,,
295,am3-koat,,暗訣,;祕訣;,,Na
296,am3-kong,,暗光,;夜鷺;,,
297,am3-kong-chiau2,,暗光鳥,;夜貓子;夜鷺;梟;貓頭鷹;鴟鵂;,,Na
298,am3-kou2,,暗股,;無記名股;暗股;,,
299,am3-kui2,,暗鬼,;消息兒;暗扣;暗鎖;,,
300,am3-kui2-a2,,暗鬼仔,;機關;,,Na
301,am3-lam5,,暗藍,;暗藍;藏青;藏青色;,,Na
302,am3-lau5,,暗流,;夕潮;晚潮;暗流;暗潮;,,Nc;Na
303,am3-lau5-a2,,暗樓仔,;暗樓子;,,
304,am3-lek8,,暗綠,;深綠;墨綠;,,A
305,am3-liam7,,暗唸,;背誦;默記;,,VC
306,am3-liu2,,暗鈕,;暗釦;,,
307,am3-lou7,,暗路,;夜路;黑道;,,Nc
308,am3-me5,am3-mi5,暗暝,;夜晚;黑夜;晚上;,,Nd
309,am3-mia5,,暗名,;冒名頂替;,,VC
310,am3-mi-mou,,暗mi-mou,;漆黑的;,,
311,am3-mou-mou,,暗mou-mou,;黑洞洞;,,VH
312,am3-niau-niau,,暗貓貓,;黑漆漆;,,VH
313,am3-oaN3-chiau2,,暗晏鳥,;夜貓子;夜鷺;貓頭鷹;,,Na
314,am3-oh8,,暗學,;夜校;,,Nc
315,am3-oh8-a2,,暗學仔,;夜校;,,Nc
316,am3-pan,,暗班,;夜班;晚班;,,Na
317,am3-pang5,,暗房,;暗房;暗室;,,Nc
318,am3-peN7,am3-piN7,暗病,;暗疾;隱疾;,,Na
319,am3-phu2,,暗殕,;灰不溜丟;,,
320,am3-png7,,暗飯,;晚飯;,,Na
321,am3-pou,,暗晡,;傍晚;,,Nd
322,am3-pou7,,暗步,;陰謀;暗招;暗招兒;暗計;,,Na;VE
323,am3-pou-a2,,暗晡仔,;傍晚;,,Nd
324,am3-sam3,,暗sam3,;陰森;傍晚;諱疾;陰暗;,,Nd;VH
325,am3-sam3-peN7,am3-sam3-piN7,暗sam3病,;性病;花柳病;暗疾;隱疾;,,Na
326,am3-sat,,暗殺,;暗殺;,,VC
327,am3-sek,,暗色,;暗色;,,Na
328,am3-sek,,暗室,;暗室;,,Nc
329,am3-si5,,暗時,;夜間;夜裡;晚上;晚間;,,Nd
330,am3-si7,,暗示,;暗示;,,VE
331,am3-sia7,,暗射,;影射;,,VK
332,am3-sia7,,暗麝,;茉莉;,,Na
333,am3-siong,,暗傷,;內傷;,,Na
334,am3-siong7,,暗誦,;暗誦;,,
335,am3-sng3,,暗算,;心算;,,Na
336,am3-so2,,暗鎖,;暗鎖;,,
337,am3-so5-so5,,暗so5-so5,;黑漆漆;漆黑的;,,VH
338,am3-soan3,,暗算,;暗算;,,VC
339,am3-song2,,暗爽,;暗自歡喜;暗喜;竊喜;,,VH
340,am3-so-so,,暗so-so,;漆黑的;黑漆漆;,,VH
341,am3-ta,,暗礁,;暗礁;,,Na
342,am3-tam7,,暗淡,;暗淡;,,VH
343,am3-tam7,,黯淡,;黯淡;,,VH
344,am3-te7,am3-toe7,暗地,;暗地裡;,,Dh
345,am3-te7-a2,,暗袋仔,;內側袋;,,
346,am3-thau5,,暗頭,;夜晚;晚上;,,Nd
347,am3-thau5-a2,,暗頭仔,;入夜時分;天剛黑;初夜;傍晚;,,Nd
348,am3-thiong3,,暗暢,;暗自歡喜;竊喜;,,VH
349,am3-tiaN7,,暗定,;祕密定婚;,,
350,am3-tiau5,,暗潮,;夕潮;晚潮;,,
351,am3-tiN7,,暗淀,;夕潮;晚潮;,,
352,am3-tioh8-siuN7,,暗著想,;午夜夢迴;,,
353,am3-tiong,,暗中,;暗中;暗地裡;,,Dh
354,am3-tiuN5,am3-tioN5,暗場,;夜場;,,Na
355,am3-tng3,,暗頓,;夜飯;晚飯;晚餐;,,Na
356,am3-tok8,,暗毒,;陰毒;陰謀;,,Na
357,am5,,涵,;涵;,,b
358,am5-kau,,涵溝,;埋溝;陰溝;暗渠;溝渠;,,Nc;Na
359,am5-khang,,涵空,;涵洞;涵管;陰溝;隧道;,,Nc;Na
360,am5-khang-kau,,涵空溝,;暗渠;,,Nc
361,am5-khang-ku,,涵空龜,;井底蛙;,,Na
362,am5-kong2,,涵管,;涵管;暗管;,,Na
363,am7,,am7,;茂盛;繁茂;,,VH
364,am7-a2-kng2,am7-a2-kun2,頷仔頸,;脖子;,,Na
365,am7-am7,,am7-am7,;茂盛;郁郁;萋萋;,,b;VH
366,am7-chu,,頷珠,;喉結;,,Na
367,am7-kin,am7-kun,頷巾,;圍巾;領巾;,,Na
368,am7-kng2,am7-kun2,頷頸,;脖子;頸項;,,Na
369,am7-kng2-au7,am7-kun2-au7,頷頸後,;脖頸兒;,,
370,am7-kng2-chu,am7-kun2-chu,頷頸珠,;喉結;,,Na
371,am7-kng2-kui,am7-kun2-kui,頷頸kui,;脖子;頭頸;,,Na
372,am7-kng2-kut,am7-kun2-kut,頷頸骨,;頷椎;,,
373,am7-kui,,頷kui,;脖子;,,Na
374,am7-kui-soaN3,,頷kui腺,;甲狀腺;,,Na
375,am7-lat8,,頷厤,;結核性淋巴腺炎;,,
376,am7-lian7,,頷鍊,;項鍊;,,Na
377,am7-nia2,,頷領,;衣領;領子;,,Na
378,am7-phong7-phong7,,am7-phong7-phong7,;茂盛;蓬茸;,,VH
379,am7-png7,,唅飯,;吃飯;,,VA
380,am7-soe5,am7-se5,頷垂,;圍兜;圍嘴兒;,,Na
381,am7-soe5-a2,am7-se5-a2,頷垂仔,;圍兜;頸圍兜;,,Na
382,am7-soe5-tau7,am7-se5-tau7,頷垂豆,;頷垂豆;,,
383,am7-tau7,,頷脰,;頸脰;,,
384,am7-toa3,,頷帶,;領帶;,,Na
385,am7-ui5-a2,,頷圍仔,;圍兜;,,Na
386,a-ma2,,阿媽,;奶奶;阿媽;祖母;,,Na
387,am-am-it-sek,,奄奄一息,;奄奄一息;,,VH
388,am-aN5,,掩攔,;庇護;,,VC
389,am-bio7,,庵廟,;廟宇;,,Na
390,am-cham,,腌cham,;垃圾;骯髒;,,Na;VH
391,am-gong7,,闇戇,;低能;,,VH
392,am-gong7--e5,,闇戇e5,;低能兒;,,Na
393,am-iN7,,庵院,;寺院;,,Nc
394,am-iN-a2,,腌嬰仔,;蝌蚪;,,Na
395,am-ke,am-koe,闇雞,;呆子;,,Na
396,am-kham2,,闇憨,;痴呆;,,
397,am-kham2-gong7,,闇kham2戇,;瘋瘋傻傻;,,
398,am-kham3,ng-kham3,掩kham3,;掩飾;掩蓋;蒙在鼓裡;遮掩;隱瞞;,,VC;VB
399,am-kng,,醃缸,;缸子;醬缸;,,
400,am-koe,iam-koe,醃瓜,;花瓜;越瓜;蔭瓜;,,Na
401,am-koe-thang5,,醃瓜蟲,;衣蛾;,,
402,am-kok8-ke,ng-kok8-koe,掩咯雞,;捉迷藏;,,VA
403,am-kong2-siam5,,腌管蟬,;蟬;,,Na
404,am-mui5,,am枚,;蝌蚪;,,Na
405,a-moa5,,亞麻,;亞麻;,,Na
406,am-ou5,,掩胡,;庇護;掩護;袒護;幫助;,,VC;VJ
407,am-phiN7,,掩鼻,;掩鼻;,,VA
408,am-phui3,,am屁,;椿象;,,
409,am-pou5-siam5,,腌蜅蟬,;蟬;,,Na
410,am-pou-che5,am-pou-chhe5,am蜅蠐,;知了;蟬;,,Na
411,am-pui7,,腌蜚,;椿象;,,
412,am-tam,,闇耽,;傻呵呵;,,VH
413,am-tham,,掩貪,;貪心;貪婪;,,VH
414,am-tham,,闇貪,;貪婪;,,VH
415,an,,安,;安;安心;安置;鍍;,,VC;Nb;VH
416,an,,氨,;氨;,,Na
417,aN2,,aN2,;偏袒;,,VJ
418,an2,,俺,;我的;,,
419,an2-chaiN2,,按怎,;怎樣;,,Dh
420,an2-che2,,俺姐,;俺姐;庶母;,,Na
421,an2-chek,,俺叔,;叔叔;,,Na
422,an2-chim2,,俺嬸,;叔母;,,Na
423,an2-choaN2,,按怎,;何以;怎的;怎麼;怎麼樣;怎樣;為何;幹甚麼;幹嘛;,,VA;Dh;Dj;VH
424,an2-choaN2-iuN7,,按怎樣,;怎麼樣;,,Dj;VH
425,an2-choaN2-kong2,,按怎講,;怎麼說;,,VH
426,an2-choaN2-m7,,按怎m7,;何不;,,Dj
427,an2-chou2,,俺祖,;老奶奶;老爺爺;曾祖;曾祖母;,,Na
428,an2-goeh8,an2-geh8,按月,;按月;,,Dh
429,an2-hiaN,,安兄,;哥哥;,,Na
430,an2-kian7,,按鍵,;按鍵;,,VA
431,an2-kong,,俺公,;公公;祖父;爺;爺爺;,,Na;b
432,an2-kou,,俺姑,;姑母;,,Na
433,aN2-kui-peng5,,aN2規旁,;偏袒;,,VJ
434,an2-ma2,,俺媽,;奶奶;姥姥;婆婆;,,Na
435,an2-ma2-the2,,俺媽體,;婆婆媽媽;,,VH
436,an2-ne,,按呢,;如此;如是;這樣;這樣子;,,Na;Da;Nf;Dh;VH
437,an2-ni,,按呢,;如此;這樣;,,Da;Nf;Dh
438,an2-ni2,,按呢,;如此;那麼;那樣;這麼;這樣;,,Da;Nf;Dh;Df
439,an2-ni2-a2,,按呢仔,;那麼著;這麼著;,,Dk;Dh;VH
440,an2-ni2-seN,an2-ni2-siN,按呢生,;乃爾;這麼樣;,,Dh;Df
441,an2-nia5,,俺娘,;媽媽;,,Na
442,aN2-oa2,,aN2倚,;偏袒;,,VJ
443,an2-peh,,俺伯,;大伯;大爺;,,Na
