ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,freq,pos_h
14331,gou7,,五,;五;,,905,Ne
14332,gou7,,誤,;誤;,,244,Dh
14333,gou7-chang2-thau5,,五總頭,;要害;根源;頭髮;,,3400,Nc;Na
14334,gou7-chha,,誤差,;誤差;,,416,Na
14335,gou7-chhan,,午餐,;午餐;,,347,Na
14336,gou7-chhiok,,誤觸,;誤觸;,,305,VC
14337,gou7-chiah8,,誤食,;誤食;,,1158,VC
14338,gou7-chiang2-lam5,gou7-chiong2-lam5,五掌楠,;五掌楠;,,1019,
14339,gou7-choh,ngou2-choh,仵作,;仵作;法醫;驗屍官;,,715,Na
14340,gou7-goeh8-cheh,gou7-geh8-choeh,五月節,;端午節;,,1654,Nd
14341,gou7-goeh8-hiaN7,gou7-geh8-hiaN7,五月艾,;艾草;,,1268,Na
14342,gou7-goeh8-hoe,gou7-geh8-hoe,五月花,;高月杜鵑;,,2239,
14343,gou7-goeh8-seh,gou7-geh8-seh,五月雪,;油桐花;,,1602,
14344,gou7-hioh8-lam5,,五葉楠,;五掌楠;,,1116,
14345,gou7-hoe7,,誤會,;誤會;,,2364,VJ
14346,gou7-hoe-bah,,五花肉,;五花肉;,,1785,
14347,gou7-hoe-chiaN,,五花精,;五花肉;,,1765,
14348,gou7-jiau2-lam5,,五爪楠,;銳葉新木薑子;,,1105,
14349,gou7-jiau2-leng5,,五爪龍,;烏蘞莓;,,1143,
14350,gou7-jiau2-tong5,,五爪桐,;千年桐;,,978,
14351,gou7-jip8-ki5-tou5,,誤入歧途,;誤入歧途;,,783,VH
14352,gou7-jit8-cheh,gou7-jit8-choeh,五日節,;端午節;,,1495,Nd
14353,gou7-kai2,,誤解,;誤解;,,454,VJ
14354,gou7-keN-cha2,,五更早,;七早八早;,,1543,
14355,gou7-keN-ke,gou7-kiN-koe,五更雞,;小鵪鶉;,,1715,
14356,gou7-kha,,五腳,;破綻;馬腳;,,1525,Na
14357,gou7-kha-ki3,,五腳記,;人行道;走道;,,3067,Nc;Na
14358,gou7-kha-lai5,,五腳梨,;紅茄苳;,,1487,
14359,gou7-kha-le5,,五腳梨,;紅樹;,,1568,Na
14360,gou7-kha-li2,,五腳里,;紅茄苳;,,1580,
14361,gou7-ki-chhiu,,五支鬚,;好色;,,1792,VH
14362,gou7-kiN-cha2,gou7-keN-cha2,五更早,;大清早;,,1935,Nd
14363,gou7-kin-chhau2,gou7-kun-chhau2,五根草,;車前;車前草;芣?;地衣;,,1934,Na
14364,gou7-kin-ke5,gou7-kun-ke5,五筋鮭,;栗暴;栗鑿;敲腦袋;,,1203,
14365,gou7-kiN-si5,,五更時,;五更;,,2052,Nd
14366,gou7-pang5,,臥房,;臥房;,,350,Nc
14367,gou7-phoaN3,,誤判,;誤判;,,219,VC
14368,gou7-pou7-choa5,,五步蛇,;百步蛇;,,1080,
14369,gou7-pou7-hou2,,五步虎,;百步蛇;,,1217,
14370,gou7-sat,,誤殺,;誤殺;,,524,VC
14371,gou7-si3-saN,,五四三,;不三不四;不倫不類;,,4578,VH
14372,gou7-si5,,午時,;午時;,,946,Nd
14373,gou7-si5-chiaN3,,午時正,;正午;,,1325,Nd
14374,gou7-si5-hoe,,午時花,;大花馬齒莧;,,2135,
14375,gou7-sin3,,誤信,;誤信;,,502,VK
14376,gou7-siong,,誤傷,;誤傷;,,539,VC
14377,gou7-su7,,誤事,;誤事;,,930,VH
14378,gou7-theh8-kio5,,五宅茄,;印度茄;,,907,
14379,gou7-thoah-toh,,五屜桌,;櫥櫃;,,989,Na
14380,gou7-thoan5,,誤傳,;誤傳;,,541,VD
14381,gou7-to7,,誤導,;誤導;,,480,VC
14382,Gou7-tou2,,五堵,;五堵;,,877,Nc
14383,gu5,,牛,;牛;,,489,Na;Nb
14384,Gu5,,虞,;虞;,,184,Nb
14385,gu5-a2-khou3,,牛仔褲,;牛仔褲;,,1378,Na
14386,gu5-a2-kiaN2,,牛仔囝,;牛犢;,,1500,
14387,gu5-bah,,牛肉,;牛肉;,,813,Na
14388,gu5-bah-ek8,,牛肉液,;液;,,873,b
14389,gu5-bak8-teng,,牛目燈,;風燈;,,1243,Na
14390,gu5-bin5,,愚民,;愚民;,,507,A
14391,gu5-bo2,gu5-bu2,牛母,;母牛;,,1025,
14392,gu5-bo2-leng,gu5-bu2-leng,牛母奶,;牛乳榕;,,1105,
14393,gu5-boe2,gu5-be2,牛尾,;牛尾魚;印度牛尾;,,1361,
14394,gu5-boe2-chhau2,gu5-be2-chhau2,牛尾草,;龍牙草;,,1460,
14395,gu5-boe2-hi5,gu5-be2-hu5,牛尾魚,;牛尾魚;魟魚;,,1604,
14396,gu5-boe2-thng,gu5-be2-thng,牛尾湯,;牛尾湯;,,1374,
14397,gu5-bong5,,牛虻,;牛虻;,,467,
14398,gu5-chau3,,牛灶,;妓院;屠牛場;屠宰場;,,637,Nc
14399,gu5-chau3-keng,,牛灶間,;妓院;屠牛場;,,1012,Nc
14400,gu5-cheng2,,牛種,;種牛;,,1006,Na
14401,gu5-chheh-a2,,牛冊仔,;百葉肚;,,1579,
14402,gu5-chhia,,牛車,;大車;牛車;,,1552,Na
14403,gu5-chhoah-phiN7,,牛chhoah鼻,;印度牛膝;,,874,
14404,gu5-chhui3-lam,,牛嘴籠,;牛口罩;,,1170,
14405,gu5-chhun2,,愚蠢,;愚蠢;,,314,VH
14406,gu5-chi2,,牛子,;牛蒡;,,949,
14407,gu5-chiang-kou,,牛樟菇,;樟芝;,,673,
14408,gu5-chih8,,牛舌,;牛舌;布氏鬚鰨;,,751,
14409,gu5-chih8-chhau2,,牛舌草,;車前草;,,1218,
14410,gu5-chih8-hi5,gu5-chih8-hu5,牛舌魚,;比目魚;,,1278,Na
14411,gu5-chih8-thau5,,牛舌頭,;酸模;,,1324,
14412,gu5-chiuN,,牛樟,;牛樟;,,534,
14413,gu5-ek8,,牛疫,;牛疫;,,642,
14414,gu5-iah8,,牛蝶,;皇蛾;蛇頭蛾;,,883,
14415,gu5-iu5,,牛油,;牛油;奶油;黃油;,,857,Na
14416,Gu5-jin5-chiat,,愚人節,;愚人節;,,2801,Nd
14417,gu5-kak,,牛角,;牛角;,,725,Na
14418,gu5-kak-chhi3,,牛角刺,;馬甲子;,,1068,
14419,gu5-kak-chhoe,gu5-kak-chhe,牛角吹,;號角;龍角;,,1165,Na
14420,gu5-kak-hoe,,牛角花,;金合歡;,,1295,
14421,gu5-kak-kong2,,牛角管,;龍角;,,1007,
14422,gu5-kak-kou2,,牛角鼓,;法螺;龍角;,,975,Na
14423,gu5-kak-oaihN,,牛角踒,;天牛;魚木;,,1224,Na
14424,gu5-kak-tin5,,牛角藤,;傘花樹;,,995,
14425,gu5-kang2,,牛kang2,;公牛;,,677,Na
14426,gu5-kang2-oaihN,,牛kang2踒,;天牛;,,973,Na
14427,gu5-kang-chhi3,,牛公刺,;馬甲子;,,1151,
14428,gu5-ka-taN,,牛枷擔,;牛挑;牛軛;牛鞅;,,1430,
14429,gu5-kian3,,愚見,;愚見;,,532,Na
14430,gu5-ko,,牛哥,;種牛;,,934,Na
14431,gu5-kun5,,牛群,;牛群;,,645,Na
14432,gu5-kut-a2,,牛骨仔,;厚殼樹;,,1367,
14433,gu5-lam2,,牛腩,;牛腩;,,506,Na
14434,gu5-lan7-chhang,,牛膦蔥,;洋蔥;,,985,Na
14435,gu5-le5-pe7,gu5-loe5-pe7,牛犁耙,;牛犁耙;,,799,
14436,gu5-leng,,牛奶,;牛奶;,,779,Na
14437,gu5-leng-chheng5,,牛奶榕,;牛乳榕;,,766,
14438,gu5-leng-chhiu7,,牛奶樹,;牛乳榕;常綠榕;稜果榕;樠樹;,,1185,
14439,gu5-leng-chhui3-a2,,牛奶嘴仔,;奶嘴;,,1966,
14440,gu5-leng-chiuN,,牛奶漿,;煉乳;,,640,Na
14441,gu5-leng-hun2,,牛奶粉,;奶粉;,,760,Na
14442,gu5-leng-iu5,,牛奶油,;奶油;,,851,Na
14443,gu5-leng-ko,,牛奶膏,;煉乳;,,865,Na
14444,gu5-leng-koan3-a2,,牛奶罐仔,;奶瓶;,,1615,Na
14445,gu5-leng-pang5,,牛奶房,;牛乳榕;,,806,
14446,gu5-leng-piaN2,,牛奶餅,;牛奶餅乾;,,1010,
14447,gu5-liau7,,牛繚,;牛繩;,,490,
14448,gu5-lin,gu5-leng,牛奶,;牛奶;,,845,Na
14449,gu5-lok8,,娛樂,;娛樂;,,1010,VC
14450,gu5-long5,,牛郎,;牛郎;,,677,Na
14451,gu5-long7,,愚弄,;愚弄;,,640,VC
14452,gu5-me7-a2,gu5-ma7-a2,牛罵仔,;寶螺;,,1505,
14453,gu5-ni,,牛奶,;牛奶;,,772,Na
14454,gu5-ni-hun2,,牛奶粉,;奶粉;,,765,Na
14455,gu5-nng5,,牛郎,;牛郎;,,541,Na
14456,gu5-pai5,,牛排,;牛排;,,598,Na
14457,gu5-pak-lai7,,牛腹內,;牛雜;,,1012,
14458,gu5-phang,,牛蜂,;牛虻;牛蜂;,,587,
14459,gu5-phoe5-chhai3,gu5-phe5-chhai3,牛皮菜,;葉甜菜;,,891,
14460,gu5-phoe5-choa2,gu5-phe5-choa2,牛皮紙,;牛皮紙;,,827,
14461,gu5-phoe5-ka,gu5-phe5-ka,牛皮膠,;黃明膠;,,1438,
14462,gu5-phoe5-thng5,gu5-phe5-thng5,牛皮糖,;牛軋糖;,,730,
14463,gu5-pi,,牛蜱,;牛蝨;,,509,
14464,gu5-pian,,牛鞭,;鞭;,,455,b
14465,gu5-pong5,giu5-pong5,牛蒡,;牛蒡;,,479,
14466,gu5-pou,,牛埔,;牧場;,,532,Nc
14467,gu5-pou7,,牛步,;牛步;,,641,VA
14468,gu5-sai2-chiau2,,牛屎鳥,;灰鶺鴒;黃鶺鴒;鶺鴒;,,2180,Na
14469,gu5-sai2-chiau2-a2,,牛屎鳥仔,;鶺鴒;,,2866,Na
14470,gu5-sai2-hang,,牛屎魟,;赤土魟;,,689,
14471,gu5-sai2-kho,,牛屎柯,;薯豆;,,749,
14472,gu5-sai2-ku,,牛屎龜,;屎殼郎;蛣蜣;蜣螂;糞牛;糞金龜;鍬形蟲;,,1246,
14473,gu5-sai2-ou,,牛屎烏,;九節木;灰木;,,1203,
14474,gu5-sai2-te5,,牛屎茶,;台灣楊桐;烏皮茶;,,1527,
14475,gu5-seng3-te7,gu5-seng3-toe7,牛性地,;牛脾氣;,,1386,Na
14476,gu5-sim-lai5,,牛心梨,;台東柿;,,1324,
14477,gu5-sin5,,牛蠅,;牛蠅;,,557,
14478,gu5-soh,,牛索,;牛繩;,,536,
14479,gu5-sut-a2,,牛摔仔,;牛鞭;,,1344,
14480,gu5-taN,,牛擔,;牛挑;牛軛;牛鞅;,,727,
14481,gu5-taN-keng,,牛擔肩,;水牛肩;,,1104,
14482,gu5-thau5-thoaN2,,牛頭剷,;頑劣分子;蠻牛;,,1395,
14483,gu5-thun2,,愚蠢,;愚蠢;,,301,VH
14484,gu5-tiau5,,牛tiau5,;牛欄;,,746,Na
14485,gu5-tiau5,,牛椆,;牛舍;牛欄;,,700,Nc;Na
14486,gu5-tiau5,,牛寮,;牛舍;,,703,Nc
14487,gu5-tiau5-pui5,,牛椆肥,;廄肥;,,759,
14488,gu5-tin7,,牛陣,;牛群;,,693,Na
14489,gu5-to,,牛刀,;牛刀;,,792,Na
14490,gu5-tu5,,愚圖,;冥頑不靈;剛腹自用;愚昧無知;愚蠢;,,2853,VH
14491,gu5-tu5,,愚躕,;剛愎;懵懂;,,536,VH
14492,Gu5-tun3,,牛頓,;牛頓;,,555,Nb
14493,gu5-tun3-chang,,牛扽鬃,;牛筋草;,,611,
14494,gu5-tun3-chhau2,,牛扽草,;牛筋草;,,761,
14495,gu7-gian5,,寓言,;寓言;,,322,Na
14496,gu7-hai7,,遇害,;遇害;,,586,VH
14497,gu7-hiam2,,遇險,;遇險;,,397,VH
14498,gu7-i3,,寓意,;寓意;,,446,Na
14499,gu7-kau3-u5-lok8,,寓教於樂,;寓教於樂;,,2066,VA
14500,gu7-lan7,,遇難,;遇難;,,1142,VH
14501,gu7-siang7,gu7-siong7,遇上,;遇上;,,1863,VR
14502,gu7-tioh8,,遇著,;碰到;,,2386,VC
14503,gu7--tioh8,,遇著,;遭到;,,2470,VJ
14504,gui5,,桅,;桅;,,41,Na
14505,gui5-hai7,,危害,;危害;,,348,VC
14506,gui5-hiam2,,危險,;危險;,,309,VH
14507,gui5-ki,,危機,;危機;,,496,Na
14508,gui5-kip,,危急,;危急;,,288,VH
14509,gui5-kip8,,危及,;危及;,,412,VJ
14510,gui5-lan7,,危難,;危難;,,895,Na
14511,gui5-lau5,,危樓,;危樓;,,318,Na
14512,gui7-cheng3,,偽證,;偽證;,,285,Na
14513,gui7-cho7,,偽造,;偽造;,,288,VC
14514,gui7-chong,,偽裝,;偽裝;,,460,VC
14515,gui7-ioh8,,偽藥,;偽藥;,,308,Na
14516,gui7-kun-chu2,,偽君子,;偽君子;,,970,Na
14517,gui7-pe3,,偽幣,;偽幣;,,195,
14518,gui7-the2,,魏體,;魏碑;,,255,Na
14519,gun2,,阮,;我們;,,3858,Nh
14520,Gun2,,阮,;阮;,,878,Nb
14521,gun2,,阮,;咱們;咱家;俺;,,1476,Nh
14522,gun2-tau,,阮兜,;舍下;,,1236,Nc
14523,Gun5-cho7,,銀座,;銀座;,,378,Nc
14524,gut8-hoe,,兀花,;月桃花;,,956,
14525,ha,,ha,;頂撞;,,418,VC
14526,ha,,哈,;呵氣;,,340,VA
14527,ha3,,孝,;孝;絰;,,182,Na;b;VH
14528,ha3-boe2-kiaN2,ha3-be2-kiaN2,孝尾囝,;遺腹子;,,1346,Na
14529,ha3-hok8,,孝服,;孝服;,,295,Na
14530,ha3-iong7,,孝養,;奉養;,,448,VC
14531,ha3-lou7-tiam3,,孝路店,;葬儀社;,,862,Nc
14532,ha3-saN,,孝衫,;凶服;孝衣;孝服;素服;喪服;,,1801,Na
14533,ha3-sau,,罅颼,;罅隙;,,159,Na
14534,ha3-thng7,,孝杖,;孝杖;哀杖;哭喪杖;,,440,
14535,ha5,,ha5,;爻;束;綁;,,285,Na;VC;Nf
14536,ha5,,縖,;綑;,,131,VC;Nf
14537,ha5-chu5,,瑕疵,;瑕疵;,,232,Na
14538,ha5-hun5,,瑕痕,;瑕疵;,,254,Na
14539,ha5-hun5,,霞雲,;彩霞;雲霞;,,430,Na
14540,ha5-kun5,,縖裙,;圍裙;,,270,Na
14541,ha5-lang2,,縖lang2,;承攬;,,300,VC
14542,ha5-pau-a2,,縖包仔,;皮夾子;荷包;腰包;錢包;,,1597,Na
14543,ha7,,下,;下;,,848,Ne;Nc;VC;Nf;Ng
14544,ha7,,夏,;夏;,,254,Nd
14545,ha7-beng7-leng7,,下命令,;下令;,,1152,VE
14546,ha7-bun5,,下文,;下文;,,1291,Na
14547,ha7-chan5,,下層,;下層;,,946,
14548,ha7-cheng5,,下情,;下情;,,1261,Na
14549,ha7-chhek,,下策,;下策;,,892,Na
14550,ha7-chhiu2,,下手,;下手;,,1377,VA
14551,ha7-chho3,,下挫,;下挫;,,882,VH
14552,ha7-chi3,he7-chi3,夏至,;夏至;,,690,Nd
14553,ha7-chian7,,下賤,;下賤;,,822,VH
14554,ha7-choh,,下choh,;下流;,,996,VH
14555,ha7-choh,,下作,;卑賤;,,886,VH
14556,ha7-chong3,,下葬,;下葬;,,791,VA
14557,ha7-chui2-kau,,下水溝,;下水道;,,1920,Na
14558,ha7-ham7,,下陷,;下陷;,,899,VH
14559,ha7-han7,,下限,;下限;,,849,Na
14560,ha7-heng5,,下行,;下行;,,1604,b
14561,ha7-hiong,,下鄉,;下鄉;,,990,VA
14562,ha7-hoan7,,下凡,;下凡;,,878,VA
14563,ha7-hoe3,ha7-he3,下貨,;低檔;,,872,Na
14564,ha7-hok8,,夏服,;夏服;,,379,Na
14565,ha7-hong3,,下放,;下放;,,1731,VC
14566,ha7-i3-sek,,下意識,;下意識;,,1621,Dh
14567,ha7-ia2,,下野,;下野;,,956,VA
14568,ha7-ioh8,,下藥,;下藥;,,980,VA
14569,ha7-iu5,,下游,;下游;,,1032,Nc
14570,ha7-iu5,,下遊,;下流;,,1064,VH
14571,ha7-jit8,,夏日,;夏日;,,821,Nd
14572,ha7-ka3,,下嫁,;下嫁;,,1295,VC
14573,ha7-kang3,,下降,;下降;,,920,VA
14574,ha7-kha,,下腳,;廢料;次級品;,,1452,Na
14575,ha7-kho3,,下課,;下課;,,1220,VH
14576,ha7-kiat-lun7,,下結論,;下結論;,,1247,VA
14577,ha7-kip,,下級,;下級;,,830,Na;VH
14578,ha7-kui3,,夏季,;夏季;,,979,Nd
14579,ha7-kui7,,下跪,;下跪;,,892,VB
14580,ha7-lam5,,下南,;南方;,,899,Nc
14581,ha7-lau5,,下樓,;下樓;,,974,VA
14582,ha7-leng7,,下令,;下令;勒令;,,1031,VF;VE
14583,ha7-leng7,,夏令,;夏令;,,438,Nd
14584,ha7-leng7-iaN5,,夏令營,;夏令營;,,575,Na
14585,ha7-li2,,下女,;下女;,,1315,Na
14586,ha7-li7,,下痢,;下痢;,,949,
14587,ha7-liat8,,下列,;下列;,,869,Nf
14588,ha7-liu5,,下流,;下流;,,1055,VH
14589,ha7-ma2-ui,,下馬威,;下馬威;,,2430,VB
14590,ha7-ngou2,,下午,;下午;,,1183,Nd
14591,Ha7-oa,,夏娃,;夏娃;,,374,Nb
14592,ha7-pan,,下班,;下班;,,924,VA
14593,ha7-san,,下山,;下山;,,1243,VA
14594,ha7-sau,,下梢,;下賤;低微;,,912,VH
14595,ha7-siau,,下消,;下賤;尿酸症;軟弱;猥瑣;,,1221,VH
14596,ha7-siau,,下梢,;下賤;低微;,,1085,VH
14597,ha7-sim-sin5,,下心神,;下工夫;,,1740,VA
14598,ha7-sin,,下身,;下身;,,1123,Na
14599,ha7-siok8,,下屬,;下屬;,,885,Na
14600,ha7-su7,,下士,;下士;,,1263,Na
14601,ha7-sui2,,下水,;下水;雞內臟;雞雜;,,1895,VA;Na
14602,ha7-sun5,,下旬,;下旬;,,852,Nd
14603,ha7-sut8,,下述,;下述;,,835,A
14604,ha7-tai5,,下台,;下台;,,1313,VA
14605,ha7-tat8,,下達,;下達;,,888,VJ
14606,ha7-teng2,,下等,;下等;,,1422,A
14607,ha7-teng2-ha7,,下等下,;等而下之;,,1690,
14608,ha7-teng2-hoe3,ha7-teng2-he3,下等貨,;下等貨;,,1617,
14609,ha7-thah,,下榻,;下榻;,,831,VC
14610,ha7-the2,,下體,;下體;,,908,Na
14611,ha7-thiN,,夏天,;夏天;,,1440,Nd
14612,ha7-tiuN5,,下場,;下場;,,1024,Na
14613,ha7-tui7,,下墜,;下墜;,,895,VA;VH
14614,ha7-ut8,,夏鷸,;磯鷸;,,262,
14615,hah,,hah,;吸;拮据;,,253,VC;VH
14616,hah8,,合,;合;合適;契合;,,515,VG;VH
14617,hah8,,佮,;合;符;,,398,Na;VG
14618,hah8-bi7,kah-bi7,合味,;合口味;對味;對胃口;,,2360,
14619,hah8-chhiu2,,合手,;合用;得心應手;,,1982,VC;VH
14620,hah8-chhui3,,合嘴,;可口;順口;適口;,,992,VH
14621,hah8-e7-loh8,,合會落,;合得來;,,3375,VR
14622,hah8-eng7,,合用,;合用;適用;,,1640,VC;VJ
14623,hah8-hi7,,合耳,;悅耳;,,607,VH
14624,hah8-i3,,合意,;中意;合意;喜歡;對味;,,2354,VK;VJ;VH
14625,hah8-iong7,,合用,;合用;適用;,,1569,VC;VJ
14626,hah8-khau2-bi7,,合口味,;是味兒;,,1825,
14627,hah8-khui3,,合氣,;對味;,,1160,
14628,hah8-pi5,,合脾,;合胃口;,,617,
14629,hah8-poaN5,,合盤,;合算;,,598,VH
14630,hah8-si5,,合時,;入時;及時;合時;合時宜;當令;適時;,,1743,Dd;A;VH
14631,hah8-si5-ki,,合時機,;合時宜;,,1538,
14632,hah8-si5-si3,hah8-si5-se3,合時勢,;合時宜;,,1544,
14633,hah8-sin,,合身,;合身;稱身;,,813,VH
14634,hah8-su,,合軀,;合身;稱身;,,932,VH
14635,hah8-thau5-thui5,,合頭槌,;投合;契合;,,1134,VH
14636,hah8-thiaN,,合聽,;悅耳;順耳;,,1060,VH
14637,ha-ha-chhio3,,哈哈笑,;哈哈笑;笑哈哈;,,808,VA
14638,hah-chhiuN3,,哈啾,;打噴嚏;,,686,VA
14639,hah-hi,,哈唏,;哈欠;,,761,Na
14640,hah-hi3,,哈肺,;打哈欠;哈欠;,,752,VA;Na
14641,hah-hi7,,哈唏,;呵欠;,,345,Na
14642,hahN,,hahN,;烤;,,87,VC
14643,hahN8-koe3,hahN8-ke3,跨過,;跨過;,,3395,
14644,hahN-sio,,暍燒,;溫熱;熱一熱;,,1428,VR
14645,Ha-hut8,,哈佛,;哈佛;,,373,Nc
14646,Ha-hut8-tai7-hak8,,哈佛大學,;哈佛大學;,,3677,Nc;Na
14647,hai,,hai,;哈哈;,,180,Dh
14648,hai2,,海,;海;,,480,Na
14649,hai2-am,,海菴,;大眼海鰱;,,1065,
14650,hai2-ang,,海翁,;鯨魚;,,1144,Na
14651,hai2-be2,,海馬,;長棘海馬;海馬;,,1983,Na
14652,hai2-bi7,,海味,;海味;海產;,,659,Na
14653,hai2-chang5-a2,,海欉仔,;琉球夾竹桃;,,1292,
14654,hai2-chhai3,,海菜,;海菜;海藻;,,698,Na
14655,hai2-chhai3-piaN2,,海菜餅,;海苔餅;,,690,
14656,hai2-chhang-a2,,海蔥仔,;荸薺;,,1126,Na
14657,hai2-chhat8,,海賊,;海盜;,,539,Na
14658,hai2-chhau2,,海草,;青參;海草;海藻;,,863,Na
14659,hai2-chhau2-hi5,hai2-chhau2-hu5,海草魚,;虱目魚;,,1024,Na
14660,hai2-chheN,hai2-chhiN,海星,;海星;,,734,Na
14661,hai2-chhiuN7,,海象,;海馬;海象;,,732,Na
14662,hai2-chhiu-soa,,海秋沙,;海秋沙;,,884,
14663,hai2-chhng,,海滄,;海滄;,,413,
14664,hai2-chian3,,海戰,;海戰;,,561,Na
14665,hai2-chiau2,,海鳥,;海鳥;,,2001,Na
14666,hai2-cho2,,海藻,;海藻;,,464,Na
14667,hai2-choa5,,海蛇,;疏條紋裸胸鯙;,,608,
14668,hai2-choan,,海專,;海專;,,514,Nc
14669,hai2-chui2,,海水,;海水;,,1310,Na
14670,hai2-chui2-ek8,,海水浴,;海水浴;海水浴場;,,1622,Na
14671,hai2-chui2-hoe,,海水花,;浪花;,,1733,Na
14672,hai2-chui2-ke,,海水蛙,;黃安康;,,1617,
14673,hai2-chui2-ke,hai2-chui2-koe,海水雞,;琵琶魚;,,1734,Na
14674,hai2-e7,,海下,;海底;,,1222,
14675,hai2-ek8,,海域,;海域;,,671,Na
14676,hai2-ek8-tiuN5,,海浴場,;海水浴場;,,1032,
14677,hai2-eng2,,海湧,;海浪;海潮;,,768,Na
14678,hai2-gan7,,海岸,;海岸;,,712,Nc
14679,hai2-gan7,,海雁,;海雁;,,500,
14680,hai2-gan7-soaN3,,海岸線,;海岸線;,,837,Na
14681,hai2-gia5-kang,,海蜈蚣,;沙蠶;,,724,
14682,hai2-go5,,海鵝,;白額雁;企鵝;豆雁;信天翁;黑脊鷗;鴻雁;鵜鶘;,,1587,Na
14683,hai2-goa7,,海外,;海外;,,899,Nc
14684,hai2-ham5,,海涵,;通融;寬諒;,,617,VA
14685,hai2-hang,,海魟,;赤土魟;,,428,
14686,hai2-hau7,,海鱟,;鱟;,,376,b
14687,hai2-he7,,海蟹,;海蟹;,,562,Na
14688,hai2-hek8,,海域,;海域;,,734,Na
14689,hai2-hoan2,,海反,;騷動;,,586,VA
14690,hai2-hoaN7,,海岸,;海岸;,,648,Nc
14691,hai2-hoat,,海法,;海法;,,674,Na
14692,hai2-hoe5-siuN7,hai2-he5-siuN7,海和尚,;儒艮;,,1895,Na
14693,hai2-hong,,海風,;海風;,,1457,Na
14694,hai2-hong5,,海防,;海防;,,881,Na
14695,hai2-hong-tin5,,海風藤,;風藤;,,1441,
14696,hai2-hou2,,海虎,;海獺;,,658,Na
14697,hai2-hou5-li5,,海狐狸,;海狗;,,860,Na
14698,hai2-hui2,,海匪,;海盜;,,487,Na
14699,hai2-iam5,,海鹽,;海鹽;,,497,Na
14700,hai2-ian3,,海燕,;海盤車;海燕;,,716,Na
14701,hai2-iN3-a2,,海燕仔,;小燕鷗;,,1399,
14702,hai2-io,,海腰,;海峽;,,482,Na
14703,hai2-iong5-pho,,海揚波,;揚波;,,615,
14704,hai2-iu,hai2-au,海鷗,;海鷗;黑尾鷗;黑嘴鷗;裡海燕鷗;,,1132,Na
14705,hai2-iu5,,海蝤,;鯨魚;,,768,Na
14706,hai2-iuN5,,海洋,;海洋;,,601,Na
14707,hai2-jiong5,,海絨,;海綿;,,419,Na
14708,hai2-ka-choah8,,海蟉蠽,;私梟;走私犯;海蛆;,,1656,Na
14709,hai2-kak,,海角,;海角;海岬;,,726,Nc;Na
14710,hai2-kang2,,海港,;海港;,,638,Nc
14711,hai2-kat-a2,,海結仔,;劉海;,,1410,
14712,hai2-ka-tang,,海茄苳,;海茄苳;,,1360,
14713,hai2-ka-tiaN,,海茄朾,;海茄苳;,,1182,
14714,hai2-ka-tin5,,海茄藤,;海茄苳;,,1278,
14715,hai2-kau2,,海狗,;海狗;,,956,Na
14716,hai2-kau2-chan2,,海口讚,;口才流利;,,1840,
14717,hai2-kau2-pian,,海狗鞭,;海狗鞭;膃肭臍;,,1024,
14718,hai2-ke-bo2,hai2-koe-bu2,海雞母,;海鷗;白腹鰹鳥;黃足笛鯛;海鷗;,,2097,Na
14719,hai2-keng2,,海景,;海景;,,690,Na
14720,hai2-kha,,海腳,;沿海;海濱;海邊;,,1307,Nc
14721,hai2-khau2,,海口,;口才;出海口;河口;海岸;,,1845,Nc;Na
14722,hai2-khau2-hong,,海口風,;海風;,,1547,Na
14723,hai2-khau2-si3,hai2-khau2-se3,海口勢,;海濱;,,1012,Nc
14724,hai2-khia7,,海徛,;海豚;,,645,Na
14725,hai2-khia7-a2,,海徛仔,;蒼鷺;,,1253,
14726,hai2-kiap,,海峽,;海峽;,,541,Na
14727,hai2-kim-hi5,hai2-kim-hu5,海金魚,;金花鮨;,,1174,
14728,hai2-kim-soa,,海金沙,;海金沙;,,1022,
14729,hai2-kiN5,,海墘,;海岸;海濱;海邊;,,768,Nc
14730,hai2-koan,,海關,;海關;,,792,Nc
14731,hai2-ku,,海龜,;海龜;,,622,Na
14732,hai2-kun,,海軍,;海軍;,,666,Nc
14733,hai2-la5-gia5,,海蟧蜈,;蜘蛛海盤車;,,789,
14734,hai2-lai5-kam,,海梨柑,;海梨柑;,,841,
14735,hai2-lai7,,海內,;國內;,,935,Nc
14736,hai2-lai7-goa7,,海內外,;海內外;,,1476,Nd
14737,hai2-lam5,,海南,;海南;,,706,Nc
14738,hai2-lam5-gong7,,海南戇,;大笨牛;信天翁;短尾信天翁;黑腳信天翁;鵜鶘;,,2311,Na
14739,Hai2-lam5-to2,,海南島,;海南島;,,1042,Nc
14740,hai2-lan7,,海難,;海難;,,1202,Na
14741,hai2-le7-a2,,海淚仔,;軍曹魚;海鱺;,,1435,
14742,hai2-leng,,海奶,;海葵;,,550,Na
14743,hai2-leng5,,海龍,;海馬;,,968,Na
14744,Hai2-leng5-ong5,,海龍王,;海龍王;,,1394,Na
14745,hai2-li2,,海里,;海里;,,718,Nf
14746,hai2-liam5,,海鯰,;海鯰;斑海鯰;,,433,
14747,hai2-lian5,,海鰱,;大眼海鰱;虱目魚;夏威夷海鰱;海鰱;,,1386,Na
14748,hai2-lian5-a2,,海鰱仔,;粲條;,,1215,
