ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,freq,pos_h
50702,so3-seng3-kui2,,躁性鬼,;急性子;,,1702,Na
50703,so3-seng3-te7,so3-seng3-toe7,躁性地,;性急;急性子;,,1340,Na;VH
50704,so3-siap,,燥澀,;拮据;,,221,VH
50705,so3-sim,,躁心,;心急;急躁;,,1029,VH
50706,so3-ti5,,埽池,;污水池;,,547,
50707,so3-tit8-lang5,,躁直人,;急性子;,,2551,Na
50708,so5,,so5,;爬行;蛇行;閒逛;閒蕩;遊蕩;蜿蜒;磨蹭;遲緩;黏糊;蹓躂;蠕動;;,,1173,VA;VH
50709,so5-kang2,,so5犅,;慢郎中;,,641,
50710,so5-ku,,so5龜,;慢郎中;,,750,
50711,so5-so5,,so5-so5,;慢吞吞;,,269,VH
50712,so5-so5-a2,,so5-so5仔,;慢慢地;,,1237,
50713,so5-so5-a7,,so5-so5也,;反應遲鈍;,,1403,
50714,soa,,沙,;沙;,,349,Na
50715,soa,,刷,;刷;,,313,VC
50716,soa,,施,;施;,,334,Nb
50717,soa,,砂,;砂;,,242,Na
50718,soa,,痧,;痧;,,220,b
50719,soa,,鯊,;鯊;,,304,b
50720,soa2,,徙,;徙;遷;,,259,VC;b
50721,soa2-chai,,徙栽,;移植;,,454,VC
50722,soa2-chau2,,徙走,;移走;搬走;,,1287,VC
50723,soa2-chiN5,,徙錢,;借錢;,,733,
50724,soa2-eng7,,徙用,;挪用;,,1421,VC
50725,soa2-kau3,,徙到,;移到;,,2495,VR
50726,soa2-kha,,徙腳,;移步;,,867,VA
50727,soa2-khau2,sek-khau2,漱口,;漱口;,,676,VA
50728,soa2-khui,,徙開,;移開;搬開;,,899,VR
50729,soa2-phou,,徙舖,;移寢;,,284,
50730,soa2-pou7,,徙步,;移步;,,442,VA
50731,soa2-siu7,,徙siu7,;挪窩兒;,,406,
50732,soa2-siu7,,徙岫,;搬遷;,,400,VC
50733,soa2-tang7,,徙動,;改動;流徙;挪動;移動;,,774,VR;VA;VC
50734,soa2-tin2-tang7,,徙振動,;挪動;移動;,,780,VA;VR
50735,soa2-ui7,,徙位,;徙位;移位;移動;搬遷;遷移;,,977,VA;VC
50736,soa3,,soa2,;漱口;,,339,VA
50737,soa3,,續,;接;續;,,460,VC;b
50738,soa3-au7,,續後,;後續;,,911,A
50739,soa3-boe2,soa3-be2,soa3尾,;末後;,,1197,
50740,soa3-chhiu2,,soa3手,;帶手;就手;趁手;順手;跟手;隨手;,,4017,Dh;VH
50741,soa3-chhiu2,,紲手,;順手;,,880,VH
